gnuplot> fit g(x) 'function4.txt' using 1:2 via c
iter      chisq       delta/lim  lambda   c
   0 3.3991225818e+20   0.00e+00  5.83e+08    1.010601e+03
   1 3.3923651965e+14  -1.00e+11  5.83e+07    1.035525e+00
   2 3.0677028901e+09  -1.11e+10  5.83e+06    2.596954e-02
   3 3.0676689674e+09  -1.11e+00  5.83e+05    2.595945e-02
   4 3.0676689674e+09   0.00e+00  5.83e+04    2.595945e-02
iter      chisq       delta/lim  lambda   c

After 4 iterations the fit converged.
final sum of squares of residuals : 3.06767e+09
rel. change during last iteration : 0

degrees of freedom    (FIT_NDF)                        : 999
rms of residuals      (FIT_STDFIT) = sqrt(WSSR/ndf)    : 1752.35
variance of residuals (reduced chisquare) = WSSR/ndf   : 3.07074e+06

Final set of parameters            Asymptotic Standard Error
=======================            ==========================
c               = 0.0259594        +/- 9.605e-05    (0.37%)

466002 10496
467002 10453
468002 10480
469002 10610
470002 10430
471002 10141
472002 10298
473002 10354
474002 10277
475002 10382
476002 12036
477002 11171
478002 11005
479002 10725
480002 10772
481002 10965
482002 10681
483002 10696
484002 10881
485002 10771
486002 10743
487002 10759
488002 10684
489002 11266
490002 11151
491002 11179
492002 11092
493002 12243
494002 11115
495002 11020
496002 11123
497002 11095
498002 11040
499002 11600
500002 10838
501002 11140
502002 11288
503002 11157
504002 11244
505002 11674
506002 15167
507002 12727
508002 11652
509002 11596
510002 12645
511002 11546
512002 11563
513002 11365
514002 11558
515002 11612
516002 11549
517002 11660
518002 12260
519002 11737
520002 12023
521002 12025
522002 11904
523002 11802
524002 11836
525002 12190
526002 11834
527002 13291
528002 12186
529002 11934
530002 12299
531002 11883
532002 12244
533002 12439
534002 12661
535002 12054
536002 12257
537002 12086
538002 12347
539002 12324
540002 12535
541002 12345
542002 12443
543002 12475
544002 13552
545002 12277
546002 16771
547002 19856
548002 14234
549002 12843
550002 12840
551002 13290
552002 13071
553002 12818
554002 13577
555002 12964
556002 12927
557002 13560
558002 13508
559002 13552
560002 12851
561002 15016
562002 13182
563002 12867
564002 13854
565002 13642
566002 13956
567002 13450
568002 13637
569002 13035
570002 13980
571002 13536
572002 13646
573002 13471
574002 14014
575002 14089
576002 14126
577002 14226
578002 15043
579002 13719
580002 13818
581002 13140
582002 14233
583002 13365
584002 14607
585002 13855
586002 14232
587002 13537
588002 14164
589002 14022
590002 14109
591002 14127
592002 13758
593002 13594
594002 14381
595002 16479
596002 14080
597002 14153
598002 14689
599002 13644
600002 14505
601002 14311
602002 14341
603002 14493
604002 14113
605002 14763
606002 15318
607002 14588
608002 14956
609002 14553
610002 14029
611002 15313
612002 16563
613002 13776
614002 14778
615002 15332
616002 15336
617002 24191
618002 17760
619002 15855
620002 14786
621002 14743
622002 14757
623002 15310
624002 14155
625002 14857
626002 15475
627002 15928
628002 14985
629002 16943
630002 15122
631002 15656
632002 15545
633002 15689
634002 14552
635002 15396
636002 15372
637002 15546
638002 16083
639002 15960
640002 15070
641002 15752
642002 15702
643002 16393
644002 15740
645002 16044
646002 17759
647002 16328
648002 15617
649002 15916
650002 15801
651002 15710
652002 15926
653002 15989
654002 15163
655002 15920
656002 15754
657002 15708
658002 15931
659002 16744
660002 15974
661002 16063
662002 15409
663002 17777
664002 16214
665002 16019
666002 15377
667002 15693
668002 16329
669002 17353
670002 16607
671002 16136
672002 15739
673002 16419
674002 16431
675002 16746
676002 16356
677002 17023
678002 16593
679002 26595
680002 21638
681002 17478
682002 17826
683002 16143
684002 16868
685002 16494
686002 16899
687002 16525
688002 17814
689002 16874
690002 17075
691002 16631
692002 17231
693002 16863
694002 18049
695002 16062
696002 17887
697002 19782
698002 18235
699002 18419
700002 16272
701002 17250
702002 17116
703002 17156
704002 16357
705002 17099
706002 16886
707002 17237
708002 15790
709002 17406
710002 16574
711002 17497
712002 16305
713002 18372
714002 18209
715002 17868
716002 20534
717002 18649
718002 19976
719002 16426
720002 18275
721002 17760
722002 18907
723002 16578
724002 17716
725002 16544
726002 18920
727002 18711
728002 16819
729002 18946
730002 17752
731002 19682
732002 17906
733002 18605
734002 18222
735002 29321
736002 21175
737002 19419
738002 18301
739002 18901
740002 18233
741002 19053
742002 17110
743002 19408
744002 17274
745002 19136
746002 17674
747002 18759
748002 20038
749002 18188
750002 18694
751002 17129
752002 20447
753002 19220
